cuisine,diet,name,cooking time,ingredients,allergens,recipe
Moroccan,Non-Vegetarian,Hearty Mutton Skewers ,1 hr 54 min,"Mutton, Salt, Garlic, Black pepper, Coriander, Honey, Herbs, Nuts","Nuts, Honey","Step 1: Marinate the Mutton with salt, pepper, and spices. Step 2: Heat oil in a pan and roast the Mutton until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a skewers."
Lebanese,Vegan,Simple Sweet potato Casserole ,1 hr 15 min,"Sweet potato, Soy sauce, Ginger, Garlic, Coriander",Soy,"Step 1: Chop the vegetables and prepare the Sweet potato. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Sweet potato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a casserole."
Ethiopian,Vegan,Peanut Spinach Salad ,1 hr 1 min,"Spinach, Ginger, Herbs, Sugar, Nuts, Black pepper",Nuts,"Step 1: Chop the vegetables and prepare the Spinach. Step 2: Heat oil in a pan and pan-fry onion, garlic, and spices. Step 3: Add Spinach and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a salad."
Brazilian,Vegetarian,Simple Paneer Pasta ,32 min,"Paneer, Flour, Black pepper, Yogurt, Milk, Ginger, Lemon","Milk, Gluten","Step 1: Chop the vegetables and prepare the Paneer. Step 2: Heat oil in a pan and boil onion, garlic, and spices. Step 3: Add Paneer and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pasta."
Japanese,Non-Vegetarian,Garlic Fish Burger ,1 hr 5 min,"Fish, Yogurt, Black pepper, Garlic, Flour, Coriander, Ginger, Cheese","Milk, Gluten, Seafood","Step 1: Marinate the Fish with salt, pepper, and spices. Step 2: Heat oil in a pan and roast the Fish until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a burger."
Vietnamese,Vegan,Savory Zucchini Soup ,1 hr 21 min,"Zucchini, Tomato, Black pepper, Lemon, Olive oil, Coriander",,"Step 1: Chop the vegetables and prepare the Zucchini. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Zucchini and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a soup."
Mediterranean,Vegan,Minty Eggplant Soup ,50 min,"Eggplant, Paprika, Nuts, Olive oil, Vinegar, Ginger, Cumin","Nuts, Eggs","Step 1: Chop the vegetables and prepare the Eggplant. Step 2: Heat oil in a pan and grill onion, garlic, and spices. Step 3: Add Eggplant and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a soup."
Indian,Vegan,Quick Sweet potato Skewers ,2 hr,"Sweet potato, Olive oil, Onion, Tomato, Paprika, Garlic",,"Step 1: Chop the vegetables and prepare the Sweet potato. Step 2: Heat oil in a pan and pan-fry onion, garlic, and spices. Step 3: Add Sweet potato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a skewers."
Chinese,Non-Vegetarian,Savory Beef Stir-fry ,35 min,"Beef, Nuts, Chili, Cheese, Soy sauce, Honey, Cumin","Milk, Soy, Nuts, Honey","Step 1: Marinate the Beef with salt, pepper, and spices. Step 2: Heat oil in a pan and saute the Beef until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a stir-fry."
Chinese,Vegan,Zesty Black beans Pilaf ,1 hr 50 min,"Black beans, Chili, Tomato, Lemon, Nuts",Nuts,"Step 1: Chop the vegetables and prepare the Black beans. Step 2: Heat oil in a pan and braise onion, garlic, and spices. Step 3: Add Black beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pilaf."
Mediterranean,Vegetarian,Coconut Mushroom Stir-fry ,12 min,"Mushroom, Herbs, Tomato, Salt, Olive oil",,"Step 1: Chop the vegetables and prepare the Mushroom. Step 2: Heat oil in a pan and boil onion, garlic, and spices. Step 3: Add Mushroom and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a stir-fry."
Indian,Non-Vegetarian,Peanut Salmon Pasta ,12 min,"Salmon, Coriander, Ginger, Nuts, Lemon, Cumin","Nuts, Seafood","Step 1: Marinate the Salmon with salt, pepper, and spices. Step 2: Heat oil in a pan and roast the Salmon until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a pasta."
Caribbean,Vegetarian,Smoky Eggplant Wrap ,1 hr 15 min,"Eggplant, Soy sauce, Butter, Onion, Paprika, Yogurt, Black pepper","Milk, Soy, Eggs","Step 1: Chop the vegetables and prepare the Eggplant. Step 2: Heat oil in a pan and blanch onion, garlic, and spices. Step 3: Add Eggplant and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a wrap."
Brazilian,Vegetarian,Hearty Tomato Tacos ,1 hr 56 min,"Tomato, Onion, Butter, Cumin",Milk,"Step 1: Chop the vegetables and prepare the Tomato. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Tomato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a tacos."
Greek,Vegetarian,Smoky Paneer Stir-fry ,1 hr 58 min,"Paneer, Herbs, Vinegar, Onion, Black pepper, Coriander, Butter",Milk,"Step 1: Chop the vegetables and prepare the Paneer. Step 2: Heat oil in a pan and stir-fry onion, garlic, and spices. Step 3: Add Paneer and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a stir-fry."
Moroccan,Vegan,Lemony Quinoa Stew ,45 min,"Quinoa, Chili, Paprika, Cumin, Nuts",Nuts,"Step 1: Chop the vegetables and prepare the Quinoa. Step 2: Heat oil in a pan and pan-fry onion, garlic, and spices. Step 3: Add Quinoa and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a stew."
Japanese,Vegetarian,Coconut Bell pepper Curry ,1 hr 39 min,"Bell pepper, Lemon, Tomato, Butter, Ginger, Milk, Olive oil, Garlic",Milk,"Step 1: Chop the vegetables and prepare the Bell pepper. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Bell pepper and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a curry."
Mediterranean,Vegan,Lemony Cauliflower Frittata ,43 min,"Cauliflower, Cumin, Black pepper, Soy sauce, Chili, Paprika, Garlic",Soy,"Step 1: Chop the vegetables and prepare the Cauliflower. Step 2: Heat oil in a pan and braise onion, garlic, and spices. Step 3: Add Cauliflower and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a frittata."
Korean,Vegetarian,Peanut Mushroom Casserole ,1 hr 34 min,"Mushroom, Tomato, Herbs, Vinegar, Onion, Chili, Coriander",,"Step 1: Chop the vegetables and prepare the Mushroom. Step 2: Heat oil in a pan and blanch onion, garlic, and spices. Step 3: Add Mushroom and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a casserole."
Brazilian,Vegetarian,Minty Tomato Soup ,1 hr 31 min,"Tomato, Ginger, Milk, Yogurt, Nuts","Milk, Nuts","Step 1: Chop the vegetables and prepare the Tomato. Step 2: Heat oil in a pan and simmer onion, garlic, and spices. Step 3: Add Tomato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a soup."
Turkish,Non-Vegetarian,Light Mutton Fritters ,1 hr 36 min,"Mutton, Ginger, Cumin, Herbs, Sugar, Lemon, Olive oil, Paprika",,"Step 1: Marinate the Mutton with salt, pepper, and spices. Step 2: Heat oil in a pan and stir-fry the Mutton until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a fritters."
Japanese,Vegetarian,Garlic Zucchini Sandwich ,16 min,"Zucchini, Yogurt, Sugar, Herbs, Tomato, Butter, Soy sauce","Milk, Soy","Step 1: Chop the vegetables and prepare the Zucchini. Step 2: Heat oil in a pan and simmer onion, garlic, and spices. Step 3: Add Zucchini and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a sandwich."
Peruvian,Non-Vegetarian,Minty Salmon Burger ,59 min,"Salmon, Soy sauce, Butter, Honey","Milk, Soy, Seafood, Honey","Step 1: Marinate the Salmon with salt, pepper, and spices. Step 2: Heat oil in a pan and grill the Salmon until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a burger."
Korean,Vegan,Crispy Mushroom Salad ,42 min,"Mushroom, Onion, Soy sauce, Cumin",Soy,"Step 1: Chop the vegetables and prepare the Mushroom. Step 2: Heat oil in a pan and braise onion, garlic, and spices. Step 3: Add Mushroom and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a salad."
Turkish,Non-Vegetarian,Lemony Shrimp Pasta ,1 hr 58 min,"Shrimp, Cheese, Garlic, Butter","Milk, Seafood","Step 1: Marinate the Shrimp with salt, pepper, and spices. Step 2: Heat oil in a pan and boil the Shrimp until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a pasta."
Greek,Non-Vegetarian,Peanut Lamb Kebab ,33 min,"Lamb, Onion, Cheese, Lemon, Herbs, Tomato, Vinegar, Chili",Milk,"Step 1: Marinate the Lamb with salt, pepper, and spices. Step 2: Heat oil in a pan and boil the Lamb until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a kebab."
Italian,Vegetarian,Garlic Broccoli Skewers ,1 hr 3 min,"Broccoli, Milk, Tomato, Sugar",Milk,"Step 1: Chop the vegetables and prepare the Broccoli. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Broccoli and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a skewers."
Spanish,Vegan,Honey Bell pepper Sandwich ,50 min,"Bell pepper, Onion, Ginger, Lemon, Salt, Black pepper",,"Step 1: Chop the vegetables and prepare the Bell pepper. Step 2: Heat oil in a pan and stir-fry onion, garlic, and spices. Step 3: Add Bell pepper and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a sandwich."
Japanese,Vegan,Minty Kidney beans Kebab ,1 hr 22 min,"Kidney beans, Nuts, Lemon, Tomato, Cumin, Black pepper",Nuts,"Step 1: Chop the vegetables and prepare the Kidney beans. Step 2: Heat oil in a pan and boil onion, garlic, and spices. Step 3: Add Kidney beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a kebab."
Brazilian,Vegan,Minty Broccoli Pizza ,1 hr 23 min,"Broccoli, Lemon, Vinegar",,"Step 1: Chop the vegetables and prepare the Broccoli. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Broccoli and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pizza."
Korean,Non-Vegetarian,Crispy Chicken Rice Bowl ,1 hr 38 min,"Chicken, Salt, Tomato, Cumin",,"Step 1: Marinate the Chicken with salt, pepper, and spices. Step 2: Heat oil in a pan and grill the Chicken until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a rice bowl."
Ethiopian,Non-Vegetarian,Quick Tuna Curry ,1 hr 29 min,"Tuna, Onion, Nuts, Garlic","Nuts, Seafood","Step 1: Marinate the Tuna with salt, pepper, and spices. Step 2: Heat oil in a pan and stir-fry the Tuna until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a curry."
Indian,Non-Vegetarian,Honey Mutton Burger ,1 hr 26 min,"Mutton, Cumin, Nuts, Milk, Coriander, Lemon, Soy sauce","Milk, Soy, Nuts","Step 1: Marinate the Mutton with salt, pepper, and spices. Step 2: Heat oil in a pan and pan-fry the Mutton until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a burger."
Japanese,Vegetarian,Light Paneer Soup ,1 hr 45 min,"Paneer, Salt, Onion, Cumin",Milk,"Step 1: Chop the vegetables and prepare the Paneer. Step 2: Heat oil in a pan and braise onion, garlic, and spices. Step 3: Add Paneer and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a soup."
Spanish,Vegetarian,Peanut Rice Pizza ,1 hr,"Rice, Soy sauce, Onion, Herbs, Olive oil, Paprika, Chili",Soy,"Step 1: Chop the vegetables and prepare the Rice. Step 2: Heat oil in a pan and blanch onion, garlic, and spices. Step 3: Add Rice and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pizza."
Ethiopian,Non-Vegetarian,Crispy Chicken Pilaf ,1 hr 8 min,"Chicken, Tomato, Coriander, Chili",,"Step 1: Marinate the Chicken with salt, pepper, and spices. Step 2: Heat oil in a pan and boil the Chicken until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a pilaf."
Caribbean,Vegetarian,Crispy Cauliflower Risotto ,1 hr 14 min,"Cauliflower, Coriander, Yogurt, Soy sauce, Salt, Nuts, Lemon, Onion","Milk, Soy, Nuts","Step 1: Chop the vegetables and prepare the Cauliflower. Step 2: Heat oil in a pan and roast onion, garlic, and spices. Step 3: Add Cauliflower and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a risotto."
Lebanese,Vegetarian,Lemony Quinoa Skewers ,43 min,"Quinoa, Milk, Butter, Ginger, Onion, Black pepper",Milk,"Step 1: Chop the vegetables and prepare the Quinoa. Step 2: Heat oil in a pan and pan-fry onion, garlic, and spices. Step 3: Add Quinoa and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a skewers."
Ethiopian,Vegetarian,Creamy Sweet potato Sandwich ,1 hr 59 min,"Sweet potato, Cheese, Tomato, Cumin, Olive oil, Coriander, Flour","Milk, Gluten","Step 1: Chop the vegetables and prepare the Sweet potato. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Sweet potato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a sandwich."
Korean,Vegan,Light Rice Pizza ,1 hr 23 min,"Rice, Onion, Flour, Paprika, Chili, Coriander",Gluten,"Step 1: Chop the vegetables and prepare the Rice. Step 2: Heat oil in a pan and stir-fry onion, garlic, and spices. Step 3: Add Rice and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pizza."
Korean,Vegetarian,Minty Cauliflower Kebab ,1 hr 43 min,"Cauliflower, Herbs, Garlic, Yogurt",Milk,"Step 1: Chop the vegetables and prepare the Cauliflower. Step 2: Heat oil in a pan and roast onion, garlic, and spices. Step 3: Add Cauliflower and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a kebab."
Greek,Non-Vegetarian,Peanut Shrimp Pilaf ,11 min,"Shrimp, Nuts, Coriander, Garlic, Butter","Milk, Nuts, Seafood","Step 1: Marinate the Shrimp with salt, pepper, and spices. Step 2: Heat oil in a pan and blanch the Shrimp until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a pilaf."
Thai,Vegan,Tangy Black beans Frittata ,28 min,"Black beans, Soy sauce, Vinegar, Paprika, Flour, Cumin, Chili, Tomato","Soy, Gluten","Step 1: Chop the vegetables and prepare the Black beans. Step 2: Heat oil in a pan and bake onion, garlic, and spices. Step 3: Add Black beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a frittata."
Lebanese,Vegan,Minty Cauliflower Pilaf ,1 hr 27 min,"Cauliflower, Tomato, Paprika, Flour, Chili",Gluten,"Step 1: Chop the vegetables and prepare the Cauliflower. Step 2: Heat oil in a pan and boil onion, garlic, and spices. Step 3: Add Cauliflower and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pilaf."
Spanish,Non-Vegetarian,Light Shrimp Fritters ,1 hr 7 min,"Shrimp, Flour, Olive oil, Chili, Cumin, Butter, Onion, Lemon","Milk, Gluten, Seafood","Step 1: Marinate the Shrimp with salt, pepper, and spices. Step 2: Heat oil in a pan and steam the Shrimp until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a fritters."
Turkish,Vegan,Lemony Rice Fritters ,1 hr 12 min,"Rice, Soy sauce, Olive oil",Soy,"Step 1: Chop the vegetables and prepare the Rice. Step 2: Heat oil in a pan and braise onion, garlic, and spices. Step 3: Add Rice and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a fritters."
Mediterranean,Vegetarian,Warm Tomato Pizza ,20 min,"Tomato, Flour, Garlic, Cheese, Vinegar, Olive oil, Butter, Chili","Milk, Gluten","Step 1: Chop the vegetables and prepare the Tomato. Step 2: Heat oil in a pan and roast onion, garlic, and spices. Step 3: Add Tomato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pizza."
French,Vegetarian,Tangy Black beans Risotto ,1 hr 2 min,"Black beans, Vinegar, Chili, Cheese, Milk",Milk,"Step 1: Chop the vegetables and prepare the Black beans. Step 2: Heat oil in a pan and grill onion, garlic, and spices. Step 3: Add Black beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a risotto."
